student_id,age,attendance_percentage,current_gpa,failed_subjects,backlogs,assignment_completion_percentage,internal_assessment_marks,exam_score,lms_activity_score,fee_pending,counseling_sessions,dropout
STU1186,22,76.2,7.18,1,2,98.0,73.6,85.1,65.9,1,0,1
STU2117,22,68.0,7.6,1,2,55.5,63.0,79.4,57.4,1,1,0
STU2755,22,73.3,5.93,0,1,64.1,70.2,44.3,52.9,0,1,0
STU2426,19,80.5,6.17,0,0,83.6,57.4,56.5,54.6,0,1,0
STU1301,23,70.1,6.36,1,1,100.0,57.5,73.5,69.0,0,2,0
STU2904,20,73.2,6.94,1,1,84.4,81.7,62.6,71.9,1,1,0
STU1833,19,87.6,5.71,0,0,77.7,78.9,78.6,53.7,0,2,0
STU1544,20,85.4,5.83,0,0,78.6,80.6,37.7,60.6,0,2,0
STU2601,20,87.6,8.49,2,2,91.2,70.3,56.5,64.3,0,1,0
STU1351,21,83.8,6.6,2,2,83.9,29.9,63.9,66.5,0,1,0
STU2933,19,80.2,6.56,0,0,74.1,39.4,58.8,78.0,0,3,0
STU2511,21,82.1,7.2,0,0,86.8,65.8,49.8,51.2,0,1,0
STU1979,19,68.7,7.93,0,0,74.6,60.4,62.4,62.5,0,0,0
STU1176,21,76.6,6.29,1,1,59.4,63.4,88.0,56.9,0,1,0
STU1483,21,78.6,7.23,0,0,86.4,51.7,64.9,38.8,0,3,0
STU2413,18,77.6,6.26,1,0,70.7,71.7,95.0,93.4,0,4,0
STU2611,21,83.7,7.72,1,0,81.1,45.9,79.4,27.0,0,0,0
STU1124,22,76.8,7.16,0,2,46.2,73.9,34.8,82.2,0,0,0
STU1600,18,88.5,8.69,1,0,74.4,62.1,72.4,70.9,0,1,0
STU2795,18,58.3,5.81,0,1,89.9,84.4,56.3,70.6,0,2,0
STU2746,19,71.6,7.67,1,1,75.5,64.0,65.6,55.2,1,1,1
STU2379,21,64.4,6.55,1,1,84.2,53.7,69.9,60.5,0,1,0
STU2186,19,59.6,7.03,1,0,38.0,61.3,58.8,73.1,0,0,1
STU1486,20,74.6,6.16,1,1,100.0,91.9,69.5,52.8,0,0,1
STU1332,21,57.4,5.61,0,0,96.5,82.8,70.1,63.1,0,1,0
STU1789,19,69.1,8.78,0,0,49.8,68.1,64.6,62.2,0,1,0
STU1195,19,78.1,8.08,1,0,82.0,42.8,69.3,28.1,0,0,0
STU1638,19,73.4,5.76,0,1,49.0,66.0,51.5,64.3,0,1,1
STU1472,20,70.8,6.05,1,1,62.1,77.2,76.3,45.5,0,0,0
STU2714,20,77.0,9.37,0,0,100.0,59.3,68.2,41.6,0,1,1
STU1323,22,89.7,5.3,0,1,82.4,47.2,70.7,74.0,0,0,0
STU2197,19,60.4,6.87,1,1,51.7,52.1,57.9,81.3,0,0,0
STU1267,21,83.3,6.0,0,0,94.8,64.0,37.6,82.4,0,0,0
STU2544,20,80.9,5.6,0,0,57.2,85.7,53.9,60.1,0,2,0
STU2804,20,79.6,7.92,1,1,72.0,66.6,74.2,38.3,0,1,0
STU1068,20,75.6,6.73,0,0,70.2,52.3,72.5,74.5,0,0,0
STU2738,20,94.5,7.46,1,3,85.2,80.8,46.4,47.6,0,2,0
STU2593,20,97.6,7.73,2,2,63.4,68.9,74.8,92.6,0,1,0
STU2564,19,74.0,5.48,1,1,98.2,47.5,78.7,48.7,0,2,0
STU1481,21,97.8,7.02,1,0,73.7,84.8,74.0,52.3,0,1,0
STU2757,23,73.6,5.95,0,0,71.6,67.8,67.1,63.1,1,2,0
STU2913,21,70.3,7.37,1,1,98.2,42.6,59.1,75.2,0,1,0
STU2441,20,99.8,6.79,1,0,85.5,70.1,51.1,80.9,0,1,0
STU2461,22,77.2,7.36,0,0,94.9,52.1,61.1,64.1,1,1,0
STU1888,20,77.7,8.39,2,2,53.2,61.7,58.3,83.0,0,0,0
STU1423,20,94.6,5.38,0,0,80.7,70.6,64.3,79.6,0,0,0
STU2675,20,59.7,6.47,0,0,71.0,60.5,69.5,40.1,0,0,0
STU2450,20,75.5,6.96,0,0,100.0,73.1,60.1,95.4,1,2,0
STU1765,21,69.5,8.01,0,0,97.2,65.8,75.7,39.2,0,0,0
STU1520,23,55.5,5.06,2,2,83.5,53.0,80.7,75.8,1,0,0
STU2432,19,92.8,7.12,0,0,100.0,61.1,63.2,77.1,0,1,0
STU1614,21,71.3,6.13,0,1,100.0,43.0,65.8,66.2,0,2,0
STU2531,21,94.7,6.08,1,1,89.2,74.8,58.4,55.3,0,4,0
STU2783,18,64.7,5.62,0,0,72.7,89.0,43.3,78.0,1,0,0
STU2659,21,65.1,6.81,1,0,65.4,80.1,74.2,54.6,0,1,0
STU1454,23,66.1,7.21,2,1,100.0,52.3,40.5,71.7,0,0,0
STU1731,21,62.0,6.64,1,1,74.2,47.3,56.9,92.1,0,1,0
STU1535,18,73.9,6.79,0,0,77.9,53.8,64.3,70.0,0,0,0
STU1966,19,56.8,6.93,1,2,100.0,75.3,59.8,85.6,0,1,1
STU2285,21,67.1,7.1,2,2,82.4,67.5,63.4,49.0,0,0,0
STU2740,21,70.3,7.93,0,2,80.1,48.0,86.9,72.4,0,1,0
STU1262,20,66.6,7.92,2,1,88.2,40.1,54.9,58.9,0,1,0
STU1536,21,88.5,7.17,0,0,64.6,83.1,67.4,58.8,0,2,0
STU1969,22,100.0,6.47,1,1,72.5,84.4,50.9,62.5,0,0,0
STU1241,19,90.8,6.83,0,0,70.8,60.6,73.1,95.0,0,1,0
STU1820,19,86.1,5.42,0,0,100.0,46.2,67.9,48.0,0,2,1
STU1693,22,75.2,7.07,2,2,96.3,57.1,81.9,87.1,0,0,0
STU1421,21,53.7,7.96,0,1,99.0,43.9,66.7,58.7,0,0,0
STU2086,20,84.9,8.1,0,0,60.6,59.0,61.9,36.0,1,1,0
STU2999,20,68.2,7.0,1,1,38.9,61.0,84.3,95.6,0,1,0
STU1366,22,93.8,7.77,2,1,80.0,58.1,80.8,68.9,0,1,0
STU2023,21,80.8,6.4,0,0,59.3,68.9,62.8,76.1,0,1,0
STU2241,22,89.4,7.65,0,0,67.9,58.5,65.3,47.2,0,0,0
STU1589,21,79.7,5.09,1,1,66.8,65.6,85.0,67.6,1,1,0
STU1737,22,64.7,6.02,0,1,74.0,50.8,58.4,59.6,0,0,1
STU2762,19,85.1,7.37,0,0,72.4,75.1,77.7,71.2,0,0,0
STU1942,22,91.2,6.28,3,3,88.4,75.7,67.0,80.5,0,2,0
STU1072,19,59.1,6.64,1,1,79.6,81.9,66.8,53.0,0,2,0
STU2408,21,96.1,6.83,1,2,84.3,72.0,58.8,76.3,1,0,0
STU1260,19,82.6,6.43,0,0,65.9,61.0,52.2,69.4,0,0,0
STU1052,21,61.3,6.7,0,0,80.2,56.6,43.9,81.7,0,2,0
STU1199,20,73.4,4.76,4,3,73.0,31.6,69.8,38.6,0,0,1
STU2789,21,97.4,6.07,0,0,100.0,55.3,57.9,31.0,0,0,0
STU1651,23,63.3,5.86,2,2,100.0,72.5,65.4,65.4,0,0,0
STU1333,20,79.1,8.33,0,0,69.0,59.9,59.3,97.9,0,2,0
STU2360,20,78.0,6.67,0,0,68.6,80.2,77.3,82.8,0,1,0
STU1594,18,84.6,6.51,1,0,58.1,50.2,55.9,48.7,0,0,0
STU2392,22,55.3,5.38,0,0,80.1,63.3,64.8,69.2,0,1,0
STU2801,20,72.2,6.33,4,4,58.2,75.5,86.9,55.0,0,1,0
STU2315,21,89.0,6.77,2,2,93.3,77.0,80.7,62.2,1,2,1
STU2112,20,90.6,6.57,1,0,86.5,85.8,92.4,73.5,0,0,0
STU2007,21,52.3,5.15,0,0,100.0,64.9,65.9,60.3,1,2,0
STU2327,21,83.0,8.82,1,1,79.7,59.4,93.7,98.8,0,1,0
STU1427,22,100.0,6.97,1,1,74.9,59.5,51.4,57.1,1,0,0
STU2559,22,83.0,6.22,0,0,87.6,61.7,73.3,30.6,0,0,0
STU2294,18,82.6,9.23,3,3,67.9,68.6,59.8,82.0,0,1,0
STU1591,19,66.0,7.65,2,2,91.7,47.9,55.7,43.9,1,0,1
STU2958,19,87.8,7.58,1,0,84.7,57.5,56.0,84.8,0,1,0
STU2977,18,79.8,6.41,1,1,74.1,71.8,74.3,85.3,0,1,0
STU2133,20,76.6,6.81,0,0,86.2,27.2,78.5,64.7,0,0,0
STU1986,21,70.6,7.22,0,0,79.2,62.6,95.0,83.4,0,1,0
STU1399,21,68.3,5.79,1,1,68.5,66.9,35.5,30.3,0,2,1
STU2512,21,59.3,6.81,1,1,73.4,60.0,24.5,53.1,0,0,0
STU1437,20,64.2,6.38,0,3,65.1,74.2,43.2,40.7,0,0,0
STU1193,20,64.0,7.38,0,0,74.6,56.5,55.0,83.2,0,1,0
STU2436,20,82.3,6.13,0,0,89.9,45.8,72.8,83.1,0,0,0
STU1615,19,53.7,6.25,0,0,61.5,43.9,73.1,76.8,0,1,0
STU2494,19,78.9,6.26,0,0,71.2,41.1,89.9,76.2,0,0,0
STU1577,22,66.2,5.9,1,1,57.0,81.3,70.3,60.1,0,0,0
STU1987,19,78.5,7.19,0,1,64.1,74.0,58.5,89.5,0,0,0
STU2433,19,71.9,5.71,0,0,67.7,55.1,53.3,62.5,0,2,0
STU1707,19,80.8,7.22,0,0,83.1,37.2,47.6,91.2,0,1,0
STU2259,23,65.5,5.31,0,0,82.6,62.2,49.8,74.2,1,0,0
STU1142,19,72.0,10.0,1,1,80.6,69.7,78.6,72.9,0,2,0
STU2358,20,69.7,6.74,0,1,71.1,44.7,25.3,43.5,0,0,0
STU1003,21,81.2,7.07,0,0,66.6,67.4,49.2,75.1,0,0,0
STU2222,22,77.0,4.82,2,1,74.4,60.6,64.5,36.1,0,0,0
STU2870,21,82.8,8.82,2,1,79.3,36.8,55.2,28.4,0,1,0
STU2623,21,65.4,7.46,0,0,94.2,55.5,92.5,39.1,0,0,1
STU1340,21,86.1,6.55,0,0,92.4,79.3,69.7,26.8,0,0,0
STU2770,24,85.0,6.95,0,0,77.9,46.4,68.0,64.3,0,0,0
STU2537,21,87.3,5.91,1,0,97.5,66.6,73.5,37.9,0,0,0
STU1484,21,75.6,7.03,1,2,76.5,51.1,61.6,73.8,0,1,0
STU1266,22,85.5,6.32,0,0,71.0,54.3,65.6,82.2,0,1,0
STU1377,20,82.1,5.29,1,2,100.0,75.9,60.5,59.6,0,0,0
STU1742,22,83.8,6.69,0,1,49.9,58.5,58.9,59.4,0,1,0
STU2014,18,77.4,8.47,0,1,62.7,68.5,67.8,69.1,0,0,0
STU1440,21,74.4,5.84,1,0,69.2,92.9,63.2,92.1,0,0,0
STU1272,21,62.9,5.72,1,0,76.9,64.1,72.1,63.6,0,0,0
STU1185,21,55.1,6.77,2,2,68.2,78.1,78.4,72.9,0,0,0
STU1940,22,67.0,5.85,0,0,67.6,72.6,93.1,72.0,0,0,0
STU1245,23,81.9,7.02,0,1,60.3,66.0,58.6,77.9,1,0,0
STU1932,21,86.4,5.89,0,0,72.4,60.4,43.4,27.0,0,1,0
STU1446,19,100.0,5.72,0,0,53.2,55.3,57.0,48.6,0,0,0
STU1597,20,90.9,6.44,0,0,60.6,88.3,43.7,82.4,1,0,0
STU1818,21,85.4,6.65,2,3,82.1,82.1,61.3,86.0,0,0,0
STU2273,20,73.9,6.18,0,1,82.0,66.9,69.5,73.2,0,0,0
STU2677,22,63.4,5.15,2,2,67.6,71.9,63.2,86.9,0,1,0
STU1487,19,77.3,8.49,0,0,94.0,72.8,74.2,36.0,0,0,0
STU1681,22,90.8,8.41,1,1,66.1,59.7,64.1,51.4,0,4,0
STU1416,21,92.3,5.93,0,0,89.0,77.4,48.3,67.6,1,3,0
STU1274,23,86.9,8.64,0,0,84.9,55.6,50.7,81.9,0,0,0
STU2472,22,72.4,6.32,0,0,73.7,72.5,58.6,64.3,0,0,0
STU2830,20,62.5,6.26,0,0,57.3,71.4,93.3,61.1,0,1,0
STU2455,22,93.5,6.07,0,0,77.7,69.2,80.3,59.5,1,0,0
STU1251,20,63.6,6.53,1,0,76.5,67.6,43.9,48.4,1,4,0
STU1414,21,58.7,6.05,1,1,79.0,46.2,37.5,55.9,0,0,0
STU2386,21,81.1,7.95,1,2,97.4,72.4,38.9,64.1,0,0,0
STU2308,22,84.4,6.49,2,2,71.7,36.7,67.0,69.9,0,1,1
STU1716,19,76.8,8.44,1,1,100.0,60.2,33.1,81.3,0,0,0
STU1311,22,85.9,7.13,0,0,84.1,64.0,55.1,53.8,0,2,0
STU1927,20,85.6,8.0,0,0,88.1,83.6,60.9,76.5,1,1,1
STU1382,22,85.5,7.11,0,0,99.6,49.4,71.2,54.9,1,0,0
STU2566,20,96.1,7.31,0,0,68.0,83.4,55.8,93.9,1,0,0
STU1426,20,89.6,7.53,0,1,67.9,47.9,63.9,74.3,0,1,0
STU2875,19,60.7,5.52,0,1,64.0,70.4,49.5,26.1,0,1,0
STU1533,20,78.9,8.59,1,1,60.3,64.8,40.2,87.7,0,0,0
STU1753,19,56.6,7.31,0,0,78.1,63.0,51.9,40.9,1,0,0
STU1766,18,67.7,7.17,3,4,57.7,44.6,60.8,52.9,0,1,1
STU2357,20,68.5,4.86,1,1,67.1,50.7,64.8,71.7,0,0,0
STU1409,18,47.5,6.74,1,1,85.1,95.0,86.1,95.1,0,0,0
STU2615,20,53.8,7.57,0,0,88.1,59.9,44.6,53.5,0,1,0
STU1695,19,92.8,6.68,0,0,73.0,69.0,42.0,64.0,0,1,0
STU2739,19,67.9,5.02,3,3,100.0,83.3,52.3,41.4,1,1,0
STU1549,21,55.2,6.94,1,3,81.2,69.1,48.7,100.0,0,0,1
STU1937,19,54.8,7.06,1,1,74.4,80.0,68.9,75.8,0,1,0
STU2390,19,69.9,6.53,0,0,78.0,42.2,76.1,60.1,0,2,0
STU2608,21,93.6,6.9,0,0,95.9,74.8,75.7,43.7,0,0,0
STU2940,19,93.8,7.41,1,0,80.2,45.7,55.6,47.3,0,0,0
STU2482,21,86.7,6.27,1,1,59.0,77.2,66.7,72.5,0,1,0
STU1183,20,53.7,5.38,0,0,82.0,61.5,85.0,56.9,0,2,0
STU2941,19,77.4,4.96,0,0,100.0,72.5,90.1,74.0,0,2,0
STU2161,19,75.4,6.75,0,1,81.8,44.0,52.9,87.3,0,0,0
STU1171,20,65.8,7.86,0,0,50.1,36.5,70.8,48.4,0,0,0
STU1293,22,90.4,5.93,0,0,74.2,80.2,65.4,48.8,0,1,0
STU1562,21,76.6,6.07,0,1,88.3,61.5,71.1,87.1,0,1,0
STU2457,23,78.8,4.94,1,1,77.7,68.7,62.0,52.6,1,0,0
STU2877,21,62.5,6.3,0,0,48.1,65.6,64.8,48.7,1,0,0
STU2652,22,79.1,5.37,1,2,51.7,45.9,46.0,82.0,0,0,0
STU1850,22,87.7,6.82,0,1,70.1,57.0,86.5,83.1,0,2,0
STU1273,20,83.6,7.19,0,0,82.0,33.1,51.2,76.4,1,0,0
STU2550,21,82.8,5.79,0,0,51.4,59.6,41.6,54.0,0,1,0
STU2035,20,89.1,7.81,0,0,67.4,87.1,70.5,66.6,0,1,0
STU2744,19,83.6,7.45,1,2,81.6,53.0,77.0,34.3,0,1,0
STU1372,22,73.1,6.21,1,2,68.1,56.7,57.4,61.7,0,0,0
STU2670,20,77.6,7.32,0,1,74.4,60.4,67.1,49.3,1,1,0
STU1722,22,91.5,5.89,1,2,72.1,42.5,43.9,60.4,0,1,0
STU1734,20,70.5,4.56,0,0,44.1,67.5,45.8,77.4,0,2,0
STU1778,21,70.4,5.49,1,1,91.1,57.5,67.5,56.8,1,2,0
STU1519,22,82.7,6.51,0,0,96.1,53.8,57.0,65.7,0,0,0
STU1335,21,70.1,7.38,0,0,63.6,71.2,80.6,75.9,0,1,0
STU1846,21,63.5,7.67,0,0,76.1,71.2,69.2,51.9,0,0,0
STU2252,22,75.5,8.23,1,1,67.3,64.5,54.6,77.6,0,1,0
STU2053,21,65.2,7.9,1,1,64.3,62.6,61.4,76.2,0,0,0
STU2924,22,84.0,5.6,2,2,89.8,52.1,61.9,77.1,0,0,0
STU1016,19,77.9,6.69,0,1,81.8,68.5,66.0,64.2,0,0,0
STU1708,21,41.7,6.45,0,1,81.1,46.6,69.5,82.9,0,1,0
STU1901,21,69.3,4.72,1,2,67.1,69.6,64.4,65.2,0,1,0
STU2980,21,85.3,5.4,2,1,74.3,63.8,64.6,73.3,0,1,0
STU2573,21,80.4,5.24,1,1,81.7,62.4,63.2,68.9,0,1,0
STU1904,23,69.6,6.98,1,1,75.8,32.0,65.0,53.3,0,1,0
STU1466,20,66.7,7.34,1,1,70.9,72.0,66.9,97.3,1,1,0
STU2978,21,73.0,6.24,1,3,65.5,52.2,66.7,70.7,0,2,0
STU1200,20,66.2,7.12,1,1,82.7,55.5,71.9,96.9,1,1,0
STU2207,20,81.8,5.33,1,1,92.0,63.3,58.4,79.5,0,1,0
STU2056,22,62.3,6.78,0,0,89.3,89.3,61.5,58.6,1,1,0
STU2132,20,68.0,6.81,0,0,91.4,52.2,70.4,47.9,0,1,0
STU2380,22,72.7,7.79,2,1,75.9,75.8,51.9,48.5,0,0,0
STU1999,21,85.8,6.85,0,0,93.8,81.1,70.9,70.4,0,1,0
STU1728,21,74.0,5.74,0,2,73.4,85.5,52.0,55.1,0,1,0
STU2772,21,59.9,7.39,0,1,71.5,76.6,53.1,74.3,0,2,0
STU2910,21,58.0,8.17,1,1,86.6,63.5,68.0,42.8,0,1,0
STU2822,22,90.8,5.47,2,2,100.0,64.5,55.0,71.5,1,0,1
STU1568,20,81.3,6.98,0,1,80.8,66.1,60.0,68.2,0,0,0
STU1044,21,66.8,5.36,1,0,65.5,49.2,60.0,56.0,0,0,0
STU1275,23,77.5,7.19,1,1,83.3,76.3,61.5,73.6,0,1,0
STU2097,23,91.9,7.88,0,0,74.4,88.1,60.1,70.3,1,0,0
STU1102,22,55.4,6.97,1,2,100.0,93.6,46.9,84.1,0,1,0
STU2232,19,94.1,5.21,0,0,79.8,29.4,60.4,68.1,1,0,0
STU2722,19,84.4,7.6,1,1,85.4,60.1,50.1,55.1,0,0,0
STU2833,19,73.9,7.0,1,0,92.9,60.9,80.1,59.5,0,2,0
STU1108,20,63.4,8.08,1,0,53.6,67.8,46.8,45.0,0,0,0
STU2618,18,67.6,6.7,0,0,88.8,69.3,72.2,80.9,0,0,0
STU1498,20,49.7,4.65,0,0,78.7,66.7,91.7,66.6,1,1,0
STU2981,21,79.9,6.05,1,3,68.6,68.2,54.9,73.3,1,0,0
STU1882,22,86.7,7.07,1,1,58.1,84.0,42.8,85.5,1,2,0
STU1757,19,83.7,6.97,1,1,92.3,69.4,53.8,64.5,0,3,0
STU1620,22,95.9,7.39,2,3,83.2,50.6,54.6,67.6,0,1,0
STU2107,19,85.1,7.69,1,1,64.3,61.0,73.9,49.1,0,1,0
STU2936,23,78.5,5.64,0,0,58.2,39.3,66.3,55.4,0,0,0
STU1810,21,59.5,6.73,2,2,100.0,51.5,37.6,78.4,0,3,0
STU2038,20,74.8,6.03,2,3,100.0,79.4,80.3,34.1,0,1,0
STU1073,19,52.3,6.64,0,0,80.1,72.3,64.3,76.3,0,1,1
STU2284,22,91.7,7.71,1,0,56.3,76.2,70.3,63.1,0,0,0
STU2272,22,72.1,7.91,0,0,77.1,85.2,45.7,43.9,0,0,0
STU2335,21,76.7,7.9,2,1,73.4,76.3,68.2,65.9,0,0,0
STU2459,23,73.3,7.42,1,1,75.1,60.6,60.4,47.4,0,1,1
STU1482,22,65.4,6.76,1,2,83.1,59.9,82.8,48.8,0,0,0
STU2069,22,100.0,6.12,0,0,87.7,64.6,80.6,100.0,0,2,0
STU1507,24,94.3,7.55,1,0,74.1,91.3,50.6,70.7,0,1,0
STU2238,21,84.9,7.14,1,1,95.9,73.4,95.0,91.8,0,0,0
STU2862,19,84.6,8.01,1,2,90.9,34.9,78.5,75.8,0,1,0
STU2990,19,65.1,6.3,1,2,72.3,62.4,59.4,57.8,0,0,0
STU2477,23,50.3,5.92,1,1,60.6,77.5,64.4,49.1,0,0,0
STU2867,20,81.0,6.51,1,1,59.7,74.4,56.0,91.8,0,1,0
STU2456,20,65.8,7.37,0,1,73.5,45.3,80.7,79.6,1,0,0
STU1312,21,79.4,6.84,1,0,62.5,75.0,45.3,69.7,0,0,0
STU1963,19,79.7,7.05,0,0,79.5,64.2,77.4,66.0,0,1,0
STU1406,20,56.2,8.07,2,1,96.9,84.4,61.3,100.0,1,0,0
STU2331,18,76.2,7.19,0,0,79.2,68.7,40.4,60.3,0,3,0
STU2650,20,76.6,6.84,0,0,69.9,67.6,56.9,74.1,0,0,0
STU1310,23,79.1,4.42,1,0,63.7,59.4,49.4,46.1,0,2,0
STU1227,24,77.8,7.2,2,2,27.6,51.0,65.2,71.3,0,0,1
STU2858,22,76.1,6.78,1,1,91.4,45.6,92.9,57.8,0,1,0
STU1711,20,75.4,7.23,0,0,80.5,56.6,38.1,74.1,0,1,0
STU2944,18,84.4,4.02,0,0,68.9,49.9,82.5,44.2,0,1,0
STU2384,20,68.0,7.18,0,0,74.5,61.5,74.4,79.0,0,0,0
STU2786,22,61.4,8.57,0,0,65.9,83.9,34.3,81.2,1,0,0
STU1149,22,71.6,6.68,1,0,81.2,80.3,61.4,68.3,0,1,0
STU2555,19,87.1,6.63,0,0,61.5,75.6,74.6,100.0,0,2,0
STU2957,22,66.9,5.89,0,0,79.1,48.5,50.3,48.4,0,1,0
STU1926,23,86.8,7.92,1,1,75.8,43.5,73.7,59.6,0,1,0
STU1943,21,76.3,6.54,1,1,100.0,62.7,50.0,72.1,0,0,0
STU1837,20,82.7,4.79,0,1,53.8,46.5,52.8,53.7,0,1,0
STU1576,19,80.6,7.16,1,1,62.1,61.7,73.2,92.6,1,1,0
STU1558,19,86.1,7.26,0,0,64.8,51.1,70.3,65.3,1,4,0
STU2236,19,82.5,6.56,2,1,92.2,67.6,57.6,83.0,0,1,0
STU2361,20,75.3,6.3,1,3,70.8,60.6,70.4,63.4,0,1,0
STU2348,20,78.1,8.23,1,0,100.0,72.9,58.4,72.5,0,1,0
STU2162,20,82.6,5.32,1,3,85.1,74.3,76.8,68.4,0,2,0
STU2443,19,76.8,7.53,0,2,84.6,51.7,54.9,40.9,1,0,0
STU1287,21,84.4,6.09,1,2,59.8,44.1,65.8,71.3,0,0,0
STU2605,20,76.8,6.71,0,1,73.3,62.8,63.8,65.9,1,0,0
STU2058,21,70.3,6.41,0,0,76.8,60.4,43.2,88.0,0,1,0
STU1599,21,53.0,7.98,1,1,77.3,59.5,62.0,71.0,1,0,0
STU1933,22,90.1,8.53,1,0,91.0,81.5,48.8,49.6,0,1,0
STU2462,20,59.0,6.64,0,0,84.0,67.8,61.9,75.7,0,1,0
STU2638,22,92.0,7.95,1,1,73.8,68.7,81.7,48.1,0,1,0
STU2588,22,78.4,7.58,0,0,65.5,58.0,46.9,69.0,0,0,0
STU2041,19,91.1,6.81,0,0,56.3,59.3,73.7,41.7,0,0,0
STU2231,20,70.6,7.67,0,0,89.4,54.3,62.5,32.4,0,1,0
STU1807,20,96.7,8.78,1,1,81.7,50.9,77.1,75.7,0,1,0
STU1905,20,71.1,8.91,1,1,56.8,82.8,58.3,74.7,0,0,0
STU2680,20,77.0,7.65,2,2,63.4,65.6,56.6,44.9,1,2,0
STU2205,20,81.1,5.15,0,0,69.4,62.2,69.3,88.9,0,1,0
STU1768,20,97.0,7.86,0,0,88.6,54.0,87.0,57.7,0,1,0
STU1610,21,60.0,6.37,0,0,94.3,82.7,55.3,77.4,0,0,0
STU2993,21,72.3,7.04,0,1,79.7,68.0,73.9,81.6,1,1,0
STU2565,19,92.6,6.03,1,4,67.8,81.2,66.4,51.1,0,0,0
STU2423,21,88.8,6.62,0,0,80.1,37.6,50.4,62.2,0,0,0
STU2011,19,100.0,7.58,1,5,73.1,68.2,66.5,61.0,1,1,0
STU1494,21,66.9,5.83,1,1,72.4,54.2,70.7,60.7,0,0,0
STU2321,20,56.7,7.49,3,4,45.2,49.4,68.7,66.1,0,3,1
STU1278,19,98.6,6.56,0,2,71.7,50.2,80.9,62.3,0,0,0
STU2847,21,74.9,7.76,1,1,38.1,49.9,60.7,69.5,0,0,0
STU1359,19,90.5,6.35,0,0,57.6,49.7,63.1,79.9,0,1,0
STU2111,22,78.8,6.61,0,0,58.2,50.3,73.4,60.4,0,0,0
STU1237,18,75.5,7.0,0,0,89.9,66.0,60.8,63.9,0,3,0
STU1552,21,74.7,6.12,1,1,84.0,76.9,74.6,99.4,0,1,1
STU2868,21,96.0,8.12,1,1,66.0,54.3,62.1,82.6,0,0,0
STU2813,21,69.7,7.37,0,0,73.2,64.8,67.0,41.5,0,0,0
STU1209,19,83.3,7.92,0,0,98.9,44.1,46.6,72.6,0,1,0
STU2387,22,75.7,5.55,1,0,81.6,67.5,81.1,93.0,0,1,0
STU2561,20,84.6,8.42,1,1,87.1,62.8,74.8,60.3,1,1,0
STU1059,19,68.8,7.39,0,0,54.7,67.1,81.4,60.6,0,2,0
STU1632,24,64.2,5.23,0,0,67.5,57.5,92.7,59.8,1,0,0
STU2962,20,92.1,5.4,1,1,60.3,79.0,61.6,46.8,1,0,0
STU2860,19,80.7,8.12,0,2,60.7,85.9,57.4,70.3,0,0,0
STU2817,21,75.2,7.07,0,0,71.7,66.9,60.8,64.7,0,0,0
STU1364,19,81.8,6.2,2,3,58.2,62.1,53.0,47.1,0,1,1
STU1506,20,87.0,8.4,1,1,88.2,46.7,66.5,67.3,0,0,1
STU2166,19,80.1,6.1,0,1,89.8,79.1,61.2,59.6,0,0,0
STU2122,21,78.2,5.38,0,0,67.5,61.2,42.9,71.1,0,1,0
STU2630,22,83.6,8.72,3,3,92.3,75.3,61.5,83.6,0,0,0
STU2217,18,60.2,6.02,1,1,76.2,77.1,69.1,65.6,0,1,0
STU2152,22,65.1,6.72,0,0,75.7,87.4,51.7,61.0,0,1,0
STU2125,20,78.9,6.29,0,0,74.0,69.9,63.9,79.2,0,0,0
STU2595,21,71.5,7.26,2,2,66.4,56.5,56.0,68.4,0,2,0
STU1119,23,78.6,6.09,0,0,63.9,72.5,56.5,79.1,0,0,0
STU2250,18,78.2,5.92,2,2,88.5,44.0,51.8,49.1,0,0,0
STU2994,22,67.7,6.49,1,0,88.4,79.9,48.1,50.2,0,0,0
STU1523,22,73.4,6.66,0,0,100.0,71.6,50.4,58.6,0,1,0
STU1514,20,85.7,6.05,0,0,78.0,55.5,67.5,68.7,0,2,0
STU1082,20,80.6,7.66,1,2,66.1,68.3,63.4,77.7,0,0,0
STU1916,22,99.3,6.9,1,2,76.0,42.1,80.7,93.2,0,1,0
STU2019,20,80.5,5.61,0,0,78.8,81.2,62.2,57.9,1,0,0
STU1381,21,72.7,8.74,1,1,61.2,57.5,48.1,37.0,0,0,0
STU2030,22,79.3,4.91,1,1,88.1,77.2,73.6,43.4,0,1,0
STU2689,20,100.0,7.4,0,1,100.0,42.5,61.0,62.0,0,1,0
STU1085,19,88.3,7.83,1,1,69.7,55.5,67.6,48.9,1,0,0
STU2678,21,83.3,7.18,3,3,88.5,68.5,56.8,68.8,1,3,0
STU1330,20,88.0,5.03,2,3,79.4,76.0,58.5,75.6,0,2,0
STU1007,21,74.9,6.48,0,1,87.4,62.5,68.8,93.0,0,1,0
STU1746,22,89.9,7.05,0,0,62.5,47.7,78.7,61.7,0,1,0
STU2554,20,55.6,6.17,1,0,81.8,55.4,26.9,90.9,0,0,0
STU1915,22,80.3,8.0,1,0,62.4,43.5,88.2,41.2,0,0,0
STU1874,21,53.3,5.6,2,1,65.4,51.5,68.7,59.2,0,0,0
STU1452,21,71.2,6.55,0,0,85.3,72.5,67.8,68.4,0,0,0
STU1491,22,85.8,8.56,2,2,92.9,72.1,39.7,50.6,0,1,0
